date;montant
2021-01-29;107190.78
2021-07-27;81900.0
2022-02-17;21371.28
2022-07-01;4942.8
2022-07-15;9928.8
2023-02-01;134220.3
2023-05-29;1166.4
2023-07-20;39648.0
2023-07-25;40000.0
2023-08-15;274800.0
2023-10-02;2106984.0
2023-10-24;149160.0
2023-11-16;147480.0
2023-11-24;158320.0
2023-12-15;52.0
2023-12-18;161242.3
2023-12-28;2970.0
2024-01-03;2940.0
2024-02-02;66771.38
2024-03-27;3459.17
2024-04-15;1771.17
2024-06-10;3366.04
2024-06-12;24975.21
2024-07-12;1594.44
2024-07-19;3013.08
2024-09-02;1594.44
2024-09-09;1683.02
2024-10-17;40000.0
2024-10-24;1683.02
2024-11-28;1771.6
2024-12-17;1683.02
2024-12-31;8457.0
2025-01-02;1883.18
2025-02-07;112320.55
2025-04-25;17810.0
2025-05-16;1953.0
2025-05-19;60000.0
2025-06-06;1953.0
