date;montant
2020-03-26;60007.13
2020-04-21;27324.0
2020-05-06;579.84
2020-05-07;3027.96
2020-06-08;71771.4
2020-06-09;39600.0
2020-06-15;118491.12
2020-07-16;300000.0
2020-07-29;246821.22
2020-10-23;35875.32
2020-11-05;19800.0
2020-11-27;84460.0
2021-02-22;357102.01
2021-04-09;911.16
2021-04-12;4758.48
2021-06-01;49970.8
2021-06-14;139598.34
2021-06-18;200000.0
2021-07-05;59395.8
2021-07-08;352.83
2021-07-09;1842.59
2021-07-15;117000.0
2021-08-04;29512.34
2021-08-16;150000.0
2021-08-25;352.83
2021-08-26;1842.59
2021-08-30;38294.3
2021-09-02;34560.0
2021-09-03;14940.0
2021-09-13;9802.15
2021-09-22;29700.0
2022-06-29;536696.02
2022-07-05;29693.45
2022-07-26;54434.88
2022-08-01;9900.0
2022-08-05;34629.78
2022-08-17;29640.0
2022-08-26;309892.2
2022-08-29;79989.03
2022-12-28;9895.36
2023-01-04;25342.45
2023-01-05;70000.0
2023-01-09;9900.0
2023-01-12;31860.0
2023-01-19;33000.0
2023-06-14;9720.0
2023-06-22;4860.0
2023-07-11;103307.31
2023-07-14;79188.5
2023-08-28;13812.0
2023-09-04;11341.36
2023-09-25;78720.0
2023-11-03;160000.0
2023-11-07;13500.0
2023-12-20;100000.0
2024-01-09;5281.93
2024-01-17;49500.0
2024-01-30;13840.92
2024-07-19;170000.0
2024-09-12;226258.44
2024-09-26;4860.0
2024-10-09;10388.96
2024-10-29;9720.0
2024-12-02;130000.0
2024-12-24;280000.0
2024-12-25;19905.0
2024-12-26;95.0
2024-12-30;68040.0
2025-01-17;7380.0
2025-06-03;4980.0
2025-06-10;4920.0
2025-06-24;4152.54
