,prévision,min_confiance,max_confiance
2025-07-01,2583493.9423100036,-12579849.186137091,17746837.0707571
2025-08-01,758142.5174110841,-14844725.392117154,16361010.426939324
2025-09-01,338957.98858707905,-15270049.99135581,15947965.96852997
2025-10-01,805185.8491789461,-14803909.131425768,16414280.82978366
2025-11-01,304183.40295457374,-15304912.810633376,15913279.616542522
2025-12-01,4828510.716395021,-10780585.514666952,20437606.947456997
2026-01-01,2803144.5982263926,-12805951.633083228,18412240.829536013
2026-02-01,338226.5387653575,-15270869.687607363,15947322.765138078
2026-03-01,6707925.494173053,-8901170.74805906,22317021.736405164
2026-04-01,3442894.672594235,-12166201.551126385,19051990.896314856
2026-05-01,582925.6519239506,-15026170.57153432,16192021.875382222
2026-06-01,857882.9941904304,-14751213.229264123,16466979.217644984
